fishStock,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,Landings,SAD_landings,Unnamed: 0
spr.27.4,,1993,,,114000.0,,,,200000.0,,
spr.27.4,,1994,,,114000.0,,,,320000.0,,
spr.27.4,,1995,,,175000.0,,,,357000.0,,
spr.27.4,,1996,,,200000.0,,,,136000.0,,
spr.27.4,,1997,,,150000.0,,,,103000.0,,
spr.27.4,,1998,,,150000.0,,,,163000.0,,
spr.27.4,,1999,,,225000.0,,,,188000.0,,
spr.27.4,,2000,,,225000.0,,,,196000.0,,
spr.27.4,,2001,,225000.0,225000.0,,,,170000.0,,
spr.27.4,,2002,,160000.0,232000.0,,,,144000.0,,
spr.27.4,,2003,,175000.0,257000.0,,,,177000.0,,
spr.27.4,,2004,,171000.0,257000.0,,,,194000.0,,
spr.27.4,,2005,,244000.0,257000.0,,,,206000.0,,
spr.27.4,,2006,,250000.0,175000.0,,,,114000.0,,
spr.27.4,,2007,,195000.0,175000.0,,,,84000.0,,
spr.27.4,,2008,,170000.0,170000.0,,,,61000.0,,
spr.27.4,,2009,,,170000.0,,,,133000.0,,
spr.27.4,,2010,,,170000.0,,,,143000.0,,
spr.27.4,,2011,,,170000.0,,,,134000.0,,
spr.27.4,,2012,,,162000.0,,,,86000.0,,
spr.27.4,,2013,,144000.0,162000.0,,,,66000.0,,
spr.27.4,,2014,,227000.0,144000.0,,,,140000.0,,
spr.27.4,,2015,,506000.0,350000.0,,,,290380.0,,
spr.27.4,,2016,,125541.0,245000.0,,,,240673.0,,
spr.27.4,,2017,,170387.0,176411.0,,,,128660.0,,
spr.27.4,,2018,,177545.0,,,,,,,
